tabela,arquivos_na_tabela,coluna,tipo,linhas_no_arquivo_exemplo,nulos_no_arquivo_exemplo,pct_nulos
br_bd_diretorios_brasil.municipio,1,id_municipio,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,id_municipio_6,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,id_municipio_tse,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_municipio_rf,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_municipio_bcb,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,nome,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,capital_uf,Int64,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_comarca,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_regiao_saude,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,nome_regiao_saude,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_regiao_imediata,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,nome_regiao_imediata,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,id_regiao_intermediaria,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,nome_regiao_intermediaria,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,id_microrregiao,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,nome_microrregiao,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_mesorregiao,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,nome_mesorregiao,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_regiao_metropolitana,object,5571,4139,74.3
br_bd_diretorios_brasil.municipio,1,nome_regiao_metropolitana,object,5571,4139,74.3
br_bd_diretorios_brasil.municipio,1,ddd,object,5571,1,0.0
br_bd_diretorios_brasil.municipio,1,id_uf,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,sigla_uf,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,nome_uf,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,nome_regiao,object,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,amazonia_legal,Int64,5571,0,0.0
br_bd_diretorios_brasil.municipio,1,centroide,object,5571,0,0.0
br_bd_diretorios_brasil.uf,1,id_uf,object,27,0,0.0
br_bd_diretorios_brasil.uf,1,sigla,object,27,0,0.0
br_bd_diretorios_brasil.uf,1,nome,object,27,0,0.0
br_bd_diretorios_brasil.uf,1,regiao,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,ano,Int64,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,id_municipio,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,id_escola,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,id_aluno,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,caderno,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,serie,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,rede,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,presenca,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,preenchimento_caderno,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,alfabetizado,object,1747439,0,0.0
br_inep_avaliacao_alfabetizacao.alunos,2,proficiencia,float64,1747439,244630,14.0
br_inep_avaliacao_alfabetizacao.alunos,2,peso_aluno,float64,1747439,244630,14.0
br_inep_avaliacao_alfabetizacao.dicionario,1,id_tabela,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.dicionario,1,nome_coluna,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.dicionario,1,chave,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.dicionario,1,cobertura_temporal,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.dicionario,1,valor,object,27,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,ano,Int64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,rede,object,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,taxa_alfabetizacao,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2024,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2025,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2026,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2027,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2028,float64,3,0,0.0
br_inep_avaliacao_alfabetizacao.meta_alfabetizacao_brasil,1,meta_alfabetizacao_2029,float64,3,0,0.0
